applicant_id,employment_type,monthly_salary,cibil_score,financial_health,financial_risk_flag_count,agent_score,decision_output,confidence_score,reasoning,evidence_summary
1,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 73819.63 and average monthly expenses of INR 37088.14. Average monthly surplus is INR 36731.49. EMI-to-income ratio is 10.84% and savings ratio is 49.76%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 73819.63 | Average monthly expense: INR 37088.14 | Average monthly surplus: INR 36731.49 | EMI-to-income ratio: 10.84% | Savings ratio: 49.76% | Income stability: 0.00 | Financial risk flags: 0
10,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 71418.34 and average monthly expenses of INR 34187.67. Average monthly surplus is INR 37230.67. EMI-to-income ratio is 9.15% and savings ratio is 52.13%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 71418.34 | Average monthly expense: INR 34187.67 | Average monthly surplus: INR 37230.67 | EMI-to-income ratio: 9.15% | Savings ratio: 52.13% | Income stability: 0.00 | Financial risk flags: 0
2,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 69519.78 and average monthly expenses of INR 38305.24. Average monthly surplus is INR 31214.54. EMI-to-income ratio is 10.03% and savings ratio is 44.90%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 69519.78 | Average monthly expense: INR 38305.24 | Average monthly surplus: INR 31214.54 | EMI-to-income ratio: 10.03% | Savings ratio: 44.90% | Income stability: 0.00 | Financial risk flags: 0
3,UNKNOWN,0,0,HIGH_RISK,4,0,NOT_ELIGIBLE,0.0,"Six-month bank statement analysis shows average monthly income of INR 35786.41 and average monthly expenses of INR 50341.12. Average monthly surplus is INR -14554.71. EMI-to-income ratio is 30.68% and savings ratio is -40.67%. Income stability score is 0.00. The applicant has a negative monthly surplus, indicating that expenses exceed income. The savings ratio is negative or zero. The EMI burden is above the defined risk threshold. Monthly expenses exceed monthly income. The observed financial position does not support sufficient repayment affordability.",Average monthly income: INR 35786.41 | Average monthly expense: INR 50341.12 | Average monthly surplus: INR -14554.71 | EMI-to-income ratio: 30.68% | Savings ratio: -40.67% | Income stability: 0.00 | Financial risk flags: 4
4,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 87809.66 and average monthly expenses of INR 49256.47. Average monthly surplus is INR 38553.19. EMI-to-income ratio is 13.80% and savings ratio is 43.91%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 87809.66 | Average monthly expense: INR 49256.47 | Average monthly surplus: INR 38553.19 | EMI-to-income ratio: 13.80% | Savings ratio: 43.91% | Income stability: 0.00 | Financial risk flags: 0
5,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 75741.56 and average monthly expenses of INR 56985.43. Average monthly surplus is INR 18756.13. EMI-to-income ratio is 19.15% and savings ratio is 24.76%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 75741.56 | Average monthly expense: INR 56985.43 | Average monthly surplus: INR 18756.13 | EMI-to-income ratio: 19.15% | Savings ratio: 24.76% | Income stability: 0.00 | Financial risk flags: 0
6,UNKNOWN,0,0,HIGH_RISK,3,20,NOT_ELIGIBLE,0.2,"Six-month bank statement analysis shows average monthly income of INR 32887.29 and average monthly expenses of INR 50216.49. Average monthly surplus is INR -17329.20. EMI-to-income ratio is 27.35% and savings ratio is -52.69%. Income stability score is 0.00. The applicant has a negative monthly surplus, indicating that expenses exceed income. The savings ratio is negative or zero. Monthly expenses exceed monthly income. The observed financial position does not support sufficient repayment affordability.",Average monthly income: INR 32887.29 | Average monthly expense: INR 50216.49 | Average monthly surplus: INR -17329.20 | EMI-to-income ratio: 27.35% | Savings ratio: -52.69% | Income stability: 0.00 | Financial risk flags: 3
7,UNKNOWN,0,0,HEALTHY,0,100,ELIGIBLE,1.0,Six-month bank statement analysis shows average monthly income of INR 96698.93 and average monthly expenses of INR 57186.00. Average monthly surplus is INR 39512.93. EMI-to-income ratio is 15.62% and savings ratio is 40.86%. Income stability score is 0.00. Overall bank statement indicators support repayment affordability.,Average monthly income: INR 96698.93 | Average monthly expense: INR 57186.00 | Average monthly surplus: INR 39512.93 | EMI-to-income ratio: 15.62% | Savings ratio: 40.86% | Income stability: 0.00 | Financial risk flags: 0
8,UNKNOWN,0,0,MODERATE_RISK,1,85,ELIGIBLE,0.85,"Six-month bank statement analysis shows average monthly income of INR 58641.12 and average monthly expenses of INR 50781.31. Average monthly surplus is INR 7859.81. EMI-to-income ratio is 20.45% and savings ratio is 13.40%. Income stability score is 0.00. The applicant has a low monthly surplus, providing a limited repayment buffer. Overall bank statement indicators support repayment affordability.",Average monthly income: INR 58641.12 | Average monthly expense: INR 50781.31 | Average monthly surplus: INR 7859.81 | EMI-to-income ratio: 20.45% | Savings ratio: 13.40% | Income stability: 0.00 | Financial risk flags: 1
9,UNKNOWN,0,0,HIGH_RISK,3,20,NOT_ELIGIBLE,0.2,"Six-month bank statement analysis shows average monthly income of INR 38113.37 and average monthly expenses of INR 53997.72. Average monthly surplus is INR -15884.35. EMI-to-income ratio is 26.23% and savings ratio is -41.68%. Income stability score is 0.00. The applicant has a negative monthly surplus, indicating that expenses exceed income. The savings ratio is negative or zero. Monthly expenses exceed monthly income. The observed financial position does not support sufficient repayment affordability.",Average monthly income: INR 38113.37 | Average monthly expense: INR 53997.72 | Average monthly surplus: INR -15884.35 | EMI-to-income ratio: 26.23% | Savings ratio: -41.68% | Income stability: 0.00 | Financial risk flags: 3
